avgBillAmount,rentRegularity,utilityRegularity,monthsHistory,label
7734.23,0.464,0.701,27,1
830.56,0.037,0.996,8,0
10680.93,0.136,0.454,35,0
8984.55,0.155,0.415,7,0
7503.13,0.939,0.28,24,1
5502.94,0.236,0.363,24,0
11740.76,0.359,0.398,13,0
11403.43,0.824,0.092,14,0
7286.61,0.021,0.787,16,0
9507.64,0.205,0.83,36,1
2826.63,0.87,0.329,10,1
7272.99,0.277,0.984,9,1
9642.61,0.11,0.866,9,1
9542.82,0.238,0.324,12,0
1783.07,0.421,0.114,5,0
9402.8,0.513,0.109,33,0
7496.75,0.727,0.909,34,1
7827.09,0.031,0.999,26,1
1563.15,0.712,0.444,6,1
2035.51,0.126,0.624,36,0
4756.58,0.597,0.295,33,1
1460.39,0.702,0.853,36,1
2815.77,0.452,0.228,22,0
4965.14,0.73,0.313,21,1
4679.32,0.153,0.923,5,0
1298.76,0.432,0.745,24,1
6809.54,0.586,0.562,22,1
5106.46,0.874,0.941,28,1
8736.41,0.968,0.6,23,1
6236.73,0.155,0.482,7,0
6808.31,0.115,0.279,15,0
10188.32,0.975,0.818,36,0
11170.29,0.829,0.267,12,0
9220.19,0.922,0.351,12,1
6925.96,0.401,0.142,2,0
6506.65,0.376,0.454,11,0
8742.67,0.777,0.568,6,1
2120.28,0.754,0.05,6,0
8044.68,0.486,0.442,18,0
6294.45,0.345,0.111,32,0
3908.51,0.221,0.984,4,1
3826.61,0.211,0.137,17,0
1703.82,0.497,0.431,9,0
8532.95,0.5,0.833,23,0
10382.64,0.042,0.019,5,0
7036.38,0.573,0.709,27,1
5038.88,0.966,0.172,30,1
11061.31,0.088,0.844,16,0
4985.26,0.079,0.871,22,1
9415.68,0.076,0.633,34,0
10899.3,0.349,0.727,10,0
2013.4,0.197,0.602,5,0
9342.32,0.494,0.754,29,1
10619.96,0.643,0.987,21,1
7638.44,0.151,0.068,29,0
9617.06,0.591,0.352,5,0
5587.39,0.057,0.832,5,0
11735.21,0.09,0.594,25,0
6785.5,0.792,0.896,29,1
6988.38,0.188,0.605,33,0
1023.92,0.104,0.899,22,1
1286.65,0.646,0.039,29,1
6431.6,0.61,0.364,19,1
9361.24,0.679,0.052,22,1
1405.72,0.678,0.284,10,0
7118.05,0.141,0.35,26,0
8593.36,0.085,0.559,22,0
8140.36,0.829,0.739,34,1
8144.34,0.508,0.018,20,0
2806.05,0.948,0.486,15,1
2112.86,0.296,0.788,33,1
10070.9,0.884,0.038,22,1
7530.97,0.597,0.154,12,0
9321.84,0.809,0.166,29,0
4562.3,0.72,0.97,19,1
9470.46,0.234,0.239,31,0
2569.99,0.678,0.57,29,1
3596.73,0.382,0.527,11,0
9674.73,0.138,0.25,31,0
6788.13,0.103,0.846,8,0
9228.47,0.273,0.905,10,0
1373.05,0.911,0.817,23,1
5154.29,0.396,0.374,25,1
4686.48,0.028,0.931,22,1
1909.92,0.287,0.83,9,0
5788.59,0.615,0.906,2,1
10069.07,0.549,0.727,34,1
9381.22,0.238,0.122,16,0
9588.62,0.457,0.111,32,0
492.29,0.515,0.242,10,0
318.3,0.353,0.571,12,0
1301.68,0.975,0.068,34,1
9501.02,0.508,0.02,31,1
4826.51,0.373,0.747,23,1
4334.19,0.733,0.628,22,1
4421.9,0.339,0.643,30,1
5898.81,0.182,0.135,30,1
2658.61,0.791,0.886,21,1
6329.99,0.989,0.543,17,0
7868.74,0.286,0.862,4,0
4183.52,0.124,0.368,26,0
10767.26,0.387,0.974,32,1
4597.96,0.797,0.267,6,1
1223.45,0.602,0.822,35,1
1500.4,0.328,0.296,29,0
5285.56,0.69,0.352,3,0
10965.8,0.615,0.435,4,1
7758.9,0.363,0.801,11,1
1970.52,0.608,0.781,3,1
3061.15,0.645,0.362,3,0
8245.03,0.949,0.372,5,1
6494.68,0.398,0.65,16,1
603.19,0.186,0.518,36,0
9367.08,0.704,0.215,19,0
11983.96,0.2,0.136,5,0
10814.54,0.445,0.088,21,0
8601.62,0.55,0.29,20,0
8628.17,0.927,0.638,24,1
1719.94,0.201,0.139,32,1
6782.05,0.369,0.804,36,1
10645.68,0.066,0.398,31,0
9299.23,0.823,0.074,21,1
5564.7,0.68,0.345,36,1
2428.97,0.966,0.433,4,1
6361.79,0.304,0.162,15,0
11308.58,0.895,0.846,17,1
11489.31,0.274,0.625,35,0
7799.55,0.592,0.581,11,1
8731.4,0.605,0.843,3,1
631.97,0.045,0.641,17,0
9273.42,0.417,0.639,32,1
6683.26,0.642,0.302,16,1
8314.39,0.297,0.073,4,0
5162.77,0.464,0.34,10,0
8704.85,0.734,0.861,26,1
4635.32,0.562,0.319,30,1
5560.27,0.141,0.051,25,0
5192.18,0.963,0.902,21,1
8737.2,0.19,0.159,33,0
10585.19,0.497,0.09,26,0
11610.23,0.215,0.353,4,0
7290.97,0.843,0.673,19,1
10211.92,0.431,0.882,24,1
4581.47,0.401,0.57,13,0
3676.64,0.386,0.45,36,1
11872.36,0.68,0.119,7,0
9600.3,0.339,0.939,10,1
6256.73,0.5,0.045,9,0
9706.4,0.519,0.149,33,0
11197.01,0.319,0.393,20,0
6235.59,0.51,0.49,20,1
494.65,0.331,0.11,27,0
9622.03,0.725,0.688,2,1
3406.71,0.656,0.972,15,1
7127.22,0.171,0.629,25,0
8264.5,0.032,0.948,8,0
5460.15,0.419,0.413,14,0
9367.18,0.921,0.873,4,1
6368.59,0.561,0.998,31,1
3970.91,0.173,0.912,22,1
8207.66,0.868,0.681,17,1
2549.49,0.247,0.558,15,0
11792.45,0.771,0.705,32,1
4381.0,0.934,0.795,18,1
7009.68,0.543,0.896,26,1
11468.92,0.805,0.29,19,1
1224.64,0.924,0.656,31,1
9987.03,0.271,0.562,18,0
7503.42,0.587,0.242,34,1
3024.19,0.1,0.33,31,0
9317.96,0.005,0.55,11,0
11239.88,0.878,0.477,13,1
3660.77,0.285,0.059,6,0
3016.98,0.739,0.85,3,1
2348.26,0.882,0.176,3,0
4944.84,0.495,0.937,19,1
408.43,0.568,0.107,22,0
11872.46,0.543,0.494,9,0
5775.84,0.193,0.113,11,0
7884.94,0.719,0.014,22,0
6943.04,0.757,0.175,26,1
6328.78,0.087,0.669,12,0
5886.21,0.936,0.007,25,1
9118.95,0.954,0.302,1,0
4506.76,0.236,0.668,30,1
5043.37,0.503,0.895,20,1
7772.92,0.941,0.368,15,1
1862.75,0.153,0.748,24,1
6726.04,0.471,0.538,14,1
8260.0,0.596,0.787,34,1
8534.06,0.078,0.564,4,0
10863.79,0.202,0.537,11,0
6388.0,0.116,0.205,32,0
6271.39,0.809,0.453,33,1
6897.76,0.559,0.673,20,1
4932.6,0.816,0.746,5,0
4330.99,0.064,0.994,5,0
5823.23,0.287,0.18,9,0
11746.5,0.646,0.42,25,1
11030.25,0.377,0.08,35,0
10365.35,0.119,0.993,26,1
8815.94,0.223,0.003,2,0
5717.15,0.719,0.424,25,1
3195.89,0.346,0.276,8,1
8024.31,0.615,0.936,2,1
